medal,name,nationality,location,year,gender,prueba,mark,mark_x,mark_xx,mark_unidades
B,Carmelita JETER,USA,London,2012,W,200M,22.14,00:00:22.14,22.14,segundos
G,Veronica CAMPBELL-BROWN,JAM,Athens,2004,W,200M,22.05,00:00:22.05,22.05,segundos
S,Allyson FELIX,USA,Athens,2004,W,200M,22.18,00:00:22.18,22.18,segundos
B,Debbie FERGUSON-MCKENZIE,BAH,Athens,2004,W,200M,22.3,00:00:22.30,22.3,segundos
G,Marie-JosÃ© PÃREC,FRA,Atlanta,1996,W,200M,22.12,00:00:22.12,22.12,segundos
S,Merlene OTTEY,JAM,Atlanta,1996,W,200M,22.24,00:00:22.24,22.24,segundos
B,Mary ONYALI,NGR,Atlanta,1996,W,200M,22.38,00:00:22.38,22.38,segundos
G,BÃ¤rbel ECKERT-WÃCKEL,GDR,Moscow,1980,W,200M,22.03,00:00:22.03,22.03,segundos
S,Natalia BOCHINA,URS,Moscow,1980,W,200M,22.19,00:00:22.19,22.19,segundos
B,Merlene OTTEY,JAM,Moscow,1980,W,200M,22.2,00:00:22.20,22.2,segundos
G,Renate STECHER,GDR,Munich,1972,W,200M,22.4,00:00:22.40,22.4,segundos
S,Raelene Ann BOYLE,AUS,Munich,1972,W,200M,22.45,00:00:22.45,22.45,segundos
B,Irena KIRSZENSTEIN,POL,Munich,1972,W,200M,22.74,00:00:22.74,22.74,segundos
G,Edith MCGUIRE,USA,Tokyo,1964,W,200M,23,00:00:23.00,23,segundos
S,Irena KIRSZENSTEIN,POL,Tokyo,1964,W,200M,23.1,00:00:23.10,23.1,segundos
B,Marilyn BLACK,AUS,Tokyo,1964,W,200M,23.1,00:00:23.10,23.1,segundos
G,Betty CUTHBERT,AUS,Melbourne / Stockholm,1956,W,200M,23.4,00:00:23.40,23.4,segundos
S,Christa STUBNICK,EUA,Melbourne / Stockholm,1956,W,200M,23.7,00:00:23.70,23.7,segundos
B,Marlene MATHEWS-WILLARD,AUS,Melbourne / Stockholm,1956,W,200M,23.8,00:00:23.80,23.8,segundos
G,Fanny BLANKERS-KOEN,NED,London,1948,W,200M,24.4,00:00:24.40,24.4,segundos
S,Audrey WILLIAMSON,GBR,London,1948,W,200M,25.1,00:00:25.10,25.1,segundos
B,Audrey PATTERSON,USA,London,1948,W,200M,25.2,00:00:25.20,25.2,segundos
G,Hong LIU,CHN,Rio,2016,W,20Km Race Walk,1:28:35,00:01:28:35,,segundos
S,Maria Guadalupe GONZALEZ,MEX,Rio,2016,W,20Km Race Walk,1:28:37,00:01:28:37,,segundos
B,Xiuzhi LU,CHN,Rio,2016,W,20Km Race Walk,1:28:42,00:01:28:42,,segundos
G,Olga KANISKINA,RUS,Beijing,2008,W,20Km Race Walk,1h26:31,01026:31,,segundos
S,Kjersti PLAETZER,NOR,Beijing,2008,W,20Km Race Walk,1h27:07,01027:07,,segundos
B,Elisa RIGAUDO,ITA,Beijing,2008,W,20Km Race Walk,1h27:12,01027:12,,segundos
G,Liping WANG,CHN,Sydney,2000,W,20Km Race Walk,01h29:05,001029:05,,segundos
G,Liping WANG,CHN,Sydney,2000,W,20Km Race Walk,01h29:05,001029:05,,segundos
S,Kjersti PLAETZER,NOR,Sydney,2000,W,20Km Race Walk,01h29:33,001029:33,,segundos
B,Maria VASCO,ESP,Sydney,2000,W,20Km Race Walk,01h30:23,001030:23,,segundos
G,Elena LASHMANOVA,RUS,London,2012,W,20Km Race Walk,1:25:02,00:01:25:02,,segundos
B,Shenjie QIEYANG,CHN,London,2012,W,20Km Race Walk,1:25:16,00:01:25:16,,segundos
G,Athanasia TSOUMELEKA,GRE,Athens,2004,W,20Km Race Walk,1h29:12,01029:12,,segundos
S,Olimpiada IVANOVA,RUS,Athens,2004,W,20Km Race Walk,1h29:16,01029:16,,segundos
B,Jane SAVILLE,AUS,Athens,2004,W,20Km Race Walk,1h29:25,01029:25,,segundos
G,Ruth JEBET,BRN,Rio,2016,W,3000M Steeplechase,8:59.75,00:08:59.75,539.75,segundos
S,Hyvin Kiyeng JEPKEMOI,KEN,Rio,2016,W,3000M Steeplechase,9:07.12,00:09:07.12,547.12,segundos
B,Emma COBURN,USA,Rio,2016,W,3000M Steeplechase,9:07.63,00:09:07.63,547.63,segundos
G,Gulnara SAMITOVA,RUS,Beijing,2008,W,3000M Steeplechase,8:58.81,00:08:58.81,538.81,segundos
S,Eunice JEPKORIR,KEN,Beijing,2008,W,3000M Steeplechase,9:07.41,00:09:07.41,547.41,segundos
G,Habiba GHRIBI,TUN,London,2012,W,3000M Steeplechase,9:08.37,00:09:08.37,548.37,segundos
S,Sofia ASSEFA,ETH,London,2012,W,3000M Steeplechase,9:09.84,00:09:09.84,549.84,segundos
B,Milcah Chemos CHEYWA,KEN,London,2012,W,3000M Steeplechase,9:09.88,00:09:09.88,549.88,segundos
G,Dalilah MUHAMMAD,USA,Rio,2016,W,400M Hurdles,53.13,00:00:53.13,53.13,segundos
S,Sara Slott PETERSEN,DEN,Rio,2016,W,400M Hurdles,53.55,00:00:53.55,53.55,segundos
B,Ashley SPENCER,USA,Rio,2016,W,400M Hurdles,53.72,00:00:53.72,53.72,segundos
G,Melaine WALKER,JAM,Beijing,2008,W,400M Hurdles,52.64,00:00:52.64,52.64,segundos
S,Sheena TOSTA,USA,Beijing,2008,W,400M Hurdles,53.7,00:00:53.70,53.7,segundos
B,Natasha DANVERS,GBR,Beijing,2008,W,400M Hurdles,53.84,00:00:53.84,53.84,segundos
G,Irina PRIVALOVA,RUS,Sydney,2000,W,400M Hurdles,53.02,00:00:53.02,53.02,segundos
S,Deon Marie HEMMINGS,JAM,Sydney,2000,W,400M Hurdles,53.45,00:00:53.45,53.45,segundos
B,Nezha BIDOUANE,MAR,Sydney,2000,W,400M Hurdles,53.57,00:00:53.57,53.57,segundos
G,Sally GUNNELL,GBR,Barcelona,1992,W,400M Hurdles,53.23,00:00:53.23,53.23,segundos
S,Sandra FARMER-PATRICK,USA,Barcelona,1992,W,400M Hurdles,53.69,00:00:53.69,53.69,segundos
B,Janeene VICKERS,USA,Barcelona,1992,W,400M Hurdles,54.31,00:00:54.31,54.31,segundos
G,Nawal EL MOUTAWAKEL,MAR,Los Angeles,1984,W,400M Hurdles,54.61,00:00:54.61,54.61,segundos
S,Judi BROWN,USA,Los Angeles,1984,W,400M Hurdles,55.2,00:00:55.20,55.2,segundos
B,Cristina COJOCARU,ROU,Los Angeles,1984,W,400M Hurdles,55.41,00:00:55.41,55.41,segundos
G,Natalya ANTYUKH,RUS,London,2012,W,400M Hurdles,52.7,00:00:52.70,52.7,segundos
S,Lashinda DEMUS,USA,London,2012,W,400M Hurdles,52.77,00:00:52.77,52.77,segundos
B,Zuzana HEJNOVA,CZE,London,2012,W,400M Hurdles,53.38,00:00:53.38,53.38,segundos
G,Fani KHALKIA,GRE,Athens,2004,W,400M Hurdles,52.82,00:00:52.82,52.82,segundos
S,Ionela TIRLEA,ROU,Athens,2004,W,400M Hurdles,53.38,00:00:53.38,53.38,segundos
B,Tetyana TERESHCHUK,UKR,Athens,2004,W,400M Hurdles,53.44,00:00:53.44,53.44,segundos
G,Deon Marie HEMMINGS,JAM,Atlanta,1996,W,400M Hurdles,52.82,00:00:52.82,52.82,segundos
S,Kim BATTEN,USA,Atlanta,1996,W,400M Hurdles,53.08,00:00:53.08,53.08,segundos
B,Tonja BUFORD-BAILEY,USA,Atlanta,1996,W,400M Hurdles,53.22,00:00:53.22,53.22,segundos
G,Shaunae MILLER,BAH,Rio,2016,W,400M,49.44,00:00:49.44,49.44,segundos
S,Allyson FELIX,USA,Rio,2016,W,400M,49.51,00:00:49.51,49.51,segundos
B,Shericka JACKSON,JAM,Rio,2016,W,400M,49.85,00:00:49.85,49.85,segundos
G,Christine OHURUOGU,GBR,Beijing,2008,W,400M,49.62,00:00:49.62,49.62,segundos
S,Shericka WILLIAMS,JAM,Beijing,2008,W,400M,49.69,00:00:49.69,49.69,segundos
B,Sanya RICHARDS-ROSS,USA,Beijing,2008,W,400M,49.93,00:00:49.93,49.93,segundos
G,Cathy FREEMAN,AUS,Sydney,2000,W,400M,49.11,00:00:49.11,49.11,segundos
S,Lorraine FENTON,JAM,Sydney,2000,W,400M,49.58,00:00:49.58,49.58,segundos
B,Katharine MERRY,GBR,Sydney,2000,W,400M,49.72,00:00:49.72,49.72,segundos
G,Marie-JosÃ© PÃREC,FRA,Barcelona,1992,W,400M,48.83,00:00:48.83,48.83,segundos
S,Olga BRYZGINA,EUN,Barcelona,1992,W,400M,49.05,00:00:49.05,49.05,segundos
B,Ximena RESTREPO,COL,Barcelona,1992,W,400M,49.64,00:00:49.64,49.64,segundos
G,Valerie BRISCO,USA,Los Angeles,1984,W,400M,48.83,00:00:48.83,48.83,segundos
S,Chandra CHEESEBOROUGH,USA,Los Angeles,1984,W,400M,49.05,00:00:49.05,49.05,segundos
B,Kathryn SMALLWOOD-COOK,GBR,Los Angeles,1984,W,400M,49.42,00:00:49.42,49.42,segundos
G,Irena KIRSZENSTEIN,POL,Montreal,1976,W,400M,49.29,00:00:49.29,49.29,segundos
S,Christina BREHMER-LATHAN,GDR,Montreal,1976,W,400M,50.51,00:00:50.51,50.51,segundos
B,Ellen STROPAHL-STREIDT,GDR,Montreal,1976,W,400M,50.55,00:00:50.55,50.55,segundos
G,Colette BESSON,FRA,Mexico,1968,W,400M,52,00:00:52.00,52,segundos
S,Lillian BOARD,GBR,Mexico,1968,W,400M,52.1,00:00:52.10,52.1,segundos
B,Natalya CHISTYAKOVA,URS,Mexico,1968,W,400M,52.2,00:00:52.20,52.2,segundos
G,Sanya RICHARDS-ROSS,USA,London,2012,W,400M,49.55,00:00:49.55,49.55,segundos
S,Christine OHURUOGU,GBR,London,2012,W,400M,49.7,00:00:49.70,49.7,segundos
B,DeeDee TROTTER,USA,London,2012,W,400M,49.72,00:00:49.72,49.72,segundos
G,Tonique WILLIAMS-DARLING,BAH,Athens,2004,W,400M,49.41,00:00:49.41,49.41,segundos
S,Ana GUEVARA,MEX,Athens,2004,W,400M,49.56,00:00:49.56,49.56,segundos
B,Natalya ANTYUKH,RUS,Athens,2004,W,400M,49.89,00:00:49.89,49.89,segundos
G,Marie-JosÃ© PÃREC,FRA,Atlanta,1996,W,400M,48.25,00:00:48.25,48.25,segundos
S,Cathy FREEMAN,AUS,Atlanta,1996,W,400M,48.63,00:00:48.63,48.63,segundos
B,Falilat OGUNKOYA,NGR,Atlanta,1996,W,400M,49.1,00:00:49.10,49.1,segundos
G,Marita KOCH,GDR,Moscow,1980,W,400M,48.88,00:00:48.88,48.88,segundos
S,Jarmila KRATOHVILOVA,TCH,Moscow,1980,W,400M,49.46,00:00:49.46,49.46,segundos
B,Christina BREHMER-LATHAN,GDR,Moscow,1980,W,400M,49.66,00:00:49.66,49.66,segundos
G,Monika ZEHRT,GDR,Munich,1972,W,400M,51.08,00:00:51.08,51.08,segundos
S,Rita JAHN,FRG,Munich,1972,W,400M,51.21,00:00:51.21,51.21,segundos
B,Kathleen HAMMOND,USA,Munich,1972,W,400M,51.64,00:00:51.64,51.64,segundos
G,Betty CUTHBERT,AUS,Tokyo,1964,W,400M,52,00:00:52.00,52,segundos
S,Ann PACKER,GBR,Tokyo,1964,W,400M,52.2,00:00:52.20,52.2,segundos
B,Judith Florence AMOORE-POLLOCK,AUS,Tokyo,1964,W,400M,53.4,00:00:53.40,53.4,segundos
G,,USA,Rio,2016,W,4X100M Relay,41.01,00:00:41.01,41.01,segundos
S,,JAM,Rio,2016,W,4X100M Relay,41.36,00:00:41.36,41.36,segundos
B,,GBR,Rio,2016,W,4X100M Relay,41.77,00:00:41.77,41.77,segundos
G,,BEL,Beijing,2008,W,4X100M Relay,42.54,00:00:42.54,42.54,segundos
S,,NGR,Beijing,2008,W,4X100M Relay,43.04,00:00:43.04,43.04,segundos
B,,BRA,Beijing,2008,W,4X100M Relay,43.14,00:00:43.14,43.14,segundos
G,,BAH,Sydney,2000,W,4X100M Relay,41.95,00:00:41.95,41.95,segundos
S,,JAM,Sydney,2000,W,4X100M Relay,42.13,00:00:42.13,42.13,segundos
B,,USA,Sydney,2000,W,4X100M Relay,42.2,00:00:42.20,42.2,segundos
G,,USA,Barcelona,1992,W,4X100M Relay,42.11,00:00:42.11,42.11,segundos
S,,EUN,Barcelona,1992,W,4X100M Relay,42.16,00:00:42.16,42.16,segundos
B,,NGR,Barcelona,1992,W,4X100M Relay,42.81,00:00:42.81,42.81,segundos
G,,USA,Los Angeles,1984,W,4X100M Relay,41.65,00:00:41.65,41.65,segundos
S,,CAN,Los Angeles,1984,W,4X100M Relay,42.77,00:00:42.77,42.77,segundos
B,,GBR,Los Angeles,1984,W,4X100M Relay,43.11,00:00:43.11,43.11,segundos
G,,GDR,Montreal,1976,W,4X100M Relay,42.55,00:00:42.55,42.55,segundos
S,,FRG,Montreal,1976,W,4X100M Relay,42.59,00:00:42.59,42.59,segundos
B,,URS,Montreal,1976,W,4X100M Relay,43.09,00:00:43.09,43.09,segundos
G,,USA,Mexico,1968,W,4X100M Relay,42.8,00:00:42.80,42.8,segundos
S,,CUB,Mexico,1968,W,4X100M Relay,43.3,00:00:43.30,43.3,segundos
B,,URS,Mexico,1968,W,4X100M Relay,43.4,00:00:43.40,43.4,segundos
G,,USA,Rome,1960,W,4X100M Relay,44.5,00:00:44.50,44.5,segundos
S,,EUA,Rome,1960,W,4X100M Relay,44.8,00:00:44.80,44.8,segundos
B,,POL,Rome,1960,W,4X100M Relay,45,00:00:45.00,45,segundos
G,,USA,Helsinki,1952,W,4X100M Relay,45.9,00:00:45.90,45.9,segundos
S,,GER,Helsinki,1952,W,4X100M Relay,45.9,00:00:45.90,45.9,segundos
B,,GBR,Helsinki,1952,W,4X100M Relay,46.2,00:00:46.20,46.2,segundos
G,,USA,Berlin,1936,W,4X100M Relay,46.9,00:00:46.90,46.9,segundos
S,,GBR,Berlin,1936,W,4X100M Relay,47.6,00:00:47.60,47.6,segundos
B,,CAN,Berlin,1936,W,4X100M Relay,47.8,00:00:47.80,47.8,segundos
G,,CAN,Amsterdam,1928,W,4X100M Relay,48.4,00:00:48.40,48.4,segundos
S,,USA,Amsterdam,1928,W,4X100M Relay,,,,segundos
B,,GER,Amsterdam,1928,W,4X100M Relay,,,,segundos
G,,USA,London,2012,W,4X100M Relay,40.82,00:00:40.82,40.82,segundos
S,,JAM,London,2012,W,4X100M Relay,41.41,00:00:41.41,41.41,segundos
B,,UKR,London,2012,W,4X100M Relay,42.04,00:00:42.04,42.04,segundos
G,,JAM,Athens,2004,W,4X100M Relay,41.73,00:00:41.73,41.73,segundos
S,,RUS,Athens,2004,W,4X100M Relay,42.27,00:00:42.27,42.27,segundos
B,,FRA,Athens,2004,W,4X100M Relay,42.54,00:00:42.54,42.54,segundos
G,,USA,Atlanta,1996,W,4X100M Relay,41.95,00:00:41.95,41.95,segundos
S,,BAH,Atlanta,1996,W,4X100M Relay,42.14,00:00:42.14,42.14,segundos
B,,JAM,Atlanta,1996,W,4X100M Relay,42.24,00:00:42.24,42.24,segundos
G,,GDR,Moscow,1980,W,4X100M Relay,41.6,00:00:41.60,41.6,segundos
S,,URS,Moscow,1980,W,4X100M Relay,42.1,00:00:42.10,42.1,segundos
B,,GBR,Moscow,1980,W,4X100M Relay,42.43,00:00:42.43,42.43,segundos
G,,FRG,Munich,1972,W,4X100M Relay,42.81,00:00:42.81,42.81,segundos
S,,GDR,Munich,1972,W,4X100M Relay,42.95,00:00:42.95,42.95,segundos
B,,CUB,Munich,1972,W,4X100M Relay,43.36,00:00:43.36,43.36,segundos
G,,POL,Tokyo,1964,W,4X100M Relay,43.6,00:00:43.60,43.6,segundos
S,,USA,Tokyo,1964,W,4X100M Relay,43.9,00:00:43.90,43.9,segundos
B,,GBR,Tokyo,1964,W,4X100M Relay,44,00:00:44.00,44,segundos
G,,AUS,Melbourne / Stockholm,1956,W,4X100M Relay,44.5,00:00:44.50,44.5,segundos
S,,GBR,Melbourne / Stockholm,1956,W,4X100M Relay,44.7,00:00:44.70,44.7,segundos
B,,USA,Melbourne / Stockholm,1956,W,4X100M Relay,44.9,00:00:44.90,44.9,segundos
G,,NED,London,1948,W,4X100M Relay,47.5,00:00:47.50,47.5,segundos
S,,AUS,London,1948,W,4X100M Relay,47.6,00:00:47.60,47.6,segundos
B,,CAN,London,1948,W,4X100M Relay,47.8,00:00:47.80,47.8,segundos
G,,USA,Los Angeles,1932,W,4X100M Relay,47,00:00:47.00,47,segundos
S,,CAN,Los Angeles,1932,W,4X100M Relay,47,00:00:47.00,47,segundos
B,,GBR,Los Angeles,1932,W,4X100M Relay,47.6,00:00:47.60,47.6,segundos
G,,USA,Rio,2016,W,4X400M Relay,,,,segundos
S,,JAM,Rio,2016,W,4X400M Relay,,,,segundos
B,,GBR,Rio,2016,W,4X400M Relay,,,,segundos
G,,USA,Beijing,2008,W,4X400M Relay,3:18.54,00:03:18.54,198.54,segundos
B,,JAM,Beijing,2008,W,4X400M Relay,3:20.40,00:03:20.40,200.4,segundos
G,,USA,Sydney,2000,W,4X400M Relay,03:22.62,00:03:22.62,202.62,segundos
S,,JAM,Sydney,2000,W,4X400M Relay,03:23.25,00:03:23.25,203.25,segundos
B,,RUS,Sydney,2000,W,4X400M Relay,03:23.46,00:03:23.46,203.46,segundos
G,,EUN,Barcelona,1992,W,4X400M Relay,3:20.20,00:03:20.20,200.2,segundos
S,,USA,Barcelona,1992,W,4X400M Relay,3:20.92,00:03:20.92,200.92,segundos
B,,GBR,Barcelona,1992,W,4X400M Relay,3:24.23,00:03:24.23,204.23,segundos
G,,USA,Los Angeles,1984,W,4X400M Relay,3:18.29,00:03:18.29,198.29,segundos
S,,CAN,Los Angeles,1984,W,4X400M Relay,3:21.21,00:03:21.21,201.21,segundos
B,,FRG,Los Angeles,1984,W,4X400M Relay,3:22.98,00:03:22.98,202.98,segundos
G,,GDR,Montreal,1976,W,4X400M Relay,3:19.23,00:03:19.23,199.23,segundos
S,,USA,Montreal,1976,W,4X400M Relay,3:22.81,00:03:22.81,202.81,segundos
B,,URS,Montreal,1976,W,4X400M Relay,3:24.24,00:03:24.24,204.24,segundos
G,,USA,London,2012,W,4X400M Relay,3:16.87,00:03:16.87,196.87,segundos
S,,JAM,London,2012,W,4X400M Relay,3:20.95,00:03:20.95,200.95,segundos
B,,UKR,London,2012,W,4X400M Relay,3:23.57,00:03:23.57,203.57,segundos
G,,USA,Athens,2004,W,4X400M Relay,3:19.01,00:03:19.01,199.01,segundos
S,,RUS,Athens,2004,W,4X400M Relay,3:20.16,00:03:20.16,200.16,segundos
B,,JAM,Athens,2004,W,4X400M Relay,3:22.00,00:03:22.00,202,segundos
G,,USA,Atlanta,1996,W,4X400M Relay,3:20.91,00:03:20.91,200.91,segundos
S,,NGR,Atlanta,1996,W,4X400M Relay,3:21.04,00:03:21.04,201.04,segundos
B,,GER,Atlanta,1996,W,4X400M Relay,3:21.14,00:03:21.14,201.14,segundos
G,,URS,Moscow,1980,W,4X400M Relay,3:20.2,03:20.2,,segundos
S,,GDR,Moscow,1980,W,4X400M Relay,3:20.4,03:20.4,,segundos
B,,GBR,Moscow,1980,W,4X400M Relay,3:27.5,03:27.5,,segundos
G,,GDR,Munich,1972,W,4X400M Relay,3:23.0,03:23.0,,segundos
S,,USA,Munich,1972,W,4X400M Relay,3:25.2,03:25.2,,segundos
B,,FRG,Munich,1972,W,4X400M Relay,3:26.5,03:26.5,,segundos
G,Vivian Jepkemoi CHERUIYOT,KEN,Rio,2016,W,5000M,14:26.17,00:14:26.17,866.17,segundos
S,Hellen Onsando OBIRI,KEN,Rio,2016,W,5000M,14:29.77,00:14:29.77,869.77,segundos
B,Almaz AYANA,ETH,Rio,2016,W,5000M,14:33.59,00:14:33.59,873.59,segundos
G,Tirunesh DIBABA,ETH,Beijing,2008,W,5000M,15:41.40,00:15:41.40,941.4,segundos
S,Elvan ABEYLEGESSE,TUR,Beijing,2008,W,5000M,15:42.74,00:15:42.74,942.74,segundos
B,Meseret DEFAR,ETH,Beijing,2008,W,5000M,15:44.12,00:15:44.12,944.12,segundos
G,Gabriela SZABO,ROU,Sydney,2000,W,5000M,14:40.79,00:14:40.79,880.79,segundos
S,Sonia O'SULLIVAN,IRL,Sydney,2000,W,5000M,14:41.02,00:14:41.02,881.02,segundos
B,Gete WAMI,ETH,Sydney,2000,W,5000M,14:42.23,00:14:42.23,882.23,segundos
G,Meseret DEFAR,ETH,London,2012,W,5000M,15:04.25,00:15:04.25,904.25,segundos
S,Vivian Jepkemoi CHERUIYOT,KEN,London,2012,W,5000M,15:04.73,00:15:04.73,904.73,segundos
B,Tirunesh DIBABA,ETH,London,2012,W,5000M,15:05.15,00:15:05.15,905.15,segundos
G,Meseret DEFAR,ETH,Athens,2004,W,5000M,14:45.65,00:14:45.65,885.65,segundos
S,Isabella OCHICHI,KEN,Athens,2004,W,5000M,14:48.19,00:14:48.19,888.19,segundos
B,Tirunesh DIBABA,ETH,Athens,2004,W,5000M,14:51.83,00:14:51.83,891.83,segundos
G,Junxia WANG,CHN,Atlanta,1996,W,5000M,14:59.88,00:14:59.88,899.88,segundos
S,Pauline KONGA,KEN,Atlanta,1996,W,5000M,15:03.49,00:15:03.49,903.49,segundos
B,Roberta BRUNET,ITA,Atlanta,1996,W,5000M,15:07.52,00:15:07.52,907.52,segundos
G,Caster SEMENYA,RSA,Rio,2016,W,800M,1:55.28,00:01:55.28,115.28,segundos
S,Francine NIYONSABA,BDI,Rio,2016,W,800M,1:56.49,00:01:56.49,116.49,segundos
B,Margaret Nyairera WAMBUI,KEN,Rio,2016,W,800M,1:56.89,00:01:56.89,116.89,segundos
G,Pamela JELIMO,KEN,Beijing,2008,W,800M,1:54.87,00:01:54.87,114.87,segundos
S,Janeth Jepkosgei BUSIENEI,KEN,Beijing,2008,W,800M,1:56.07,00:01:56.07,116.07,segundos
B,Hasna BENHASSI,MAR,Beijing,2008,W,800M,1:56.73,00:01:56.73,116.73,segundos
G,Maria MUTOLA,MOZ,Sydney,2000,W,800M,01:56.15,00:01:56.15,116.15,segundos
S,Stephanie GRAF,AUT,Sydney,2000,W,800M,01:56.64,00:01:56.64,116.64,segundos
B,Kelly HOLMES,GBR,Sydney,2000,W,800M,01:56.80,00:01:56.80,116.8,segundos
G,Ellen VAN LANGEN,NED,Barcelona,1992,W,800M,1:55.54,00:01:55.54,115.54,segundos
S,Liliya NURUTDINOVA,EUN,Barcelona,1992,W,800M,1:55.99,00:01:55.99,115.99,segundos
B,Ana Fidelia QUIROT,CUB,Barcelona,1992,W,800M,1:56.80,00:01:56.80,116.8,segundos
G,Doina MELINTE,ROU,Los Angeles,1984,W,800M,1:57.60,00:01:57.60,117.6,segundos
S,Kim GALLAGHER,USA,Los Angeles,1984,W,800M,1:58.63,00:01:58.63,118.63,segundos
B,Fita LOVIN,ROU,Los Angeles,1984,W,800M,1:58.83,00:01:58.83,118.83,segundos
G,Tatiana KAZANKINA,URS,Montreal,1976,W,800M,1:54.94,00:01:54.94,114.94,segundos
S,Nikolina CHTEREVA,BUL,Montreal,1976,W,800M,1:55.42,00:01:55.42,115.42,segundos
B,Elfi ZINN,GDR,Montreal,1976,W,800M,1:55.60,00:01:55.60,115.6,segundos
G,Madeline MANNING-JACKSON,USA,Mexico,1968,W,800M,2:00.9,02:00.9,,segundos
S,Ileana SILAI,ROU,Mexico,1968,W,800M,2:02.5,02:02.5,,segundos
B,Maria GOMMERS,NED,Mexico,1968,W,800M,2:02.6,02:02.6,,segundos
G,Lyudmila SHEVTSOVA,URS,Rome,1960,W,800M,2:04.3,02:04.3,,segundos
S,Brenda JONES,AUS,Rome,1960,W,800M,2:04.4,02:04.4,,segundos
B,Ursula DONATH,EUA,Rome,1960,W,800M,2:05.6,02:05.6,,segundos
G,Mariya SAVINOVA,RUS,London,2012,W,800M,1:56.19,00:01:56.19,116.19,segundos
S,Caster SEMENYA,RSA,London,2012,W,800M,1:57.23,00:01:57.23,117.23,segundos
B,Ekaterina POISTOGOVA,RUS,London,2012,W,800M,1:57.53,00:01:57.53,117.53,segundos
G,Kelly HOLMES,GBR,Athens,2004,W,800M,1:56.38,00:01:56.38,116.38,segundos
S,Hasna BENHASSI,MAR,Athens,2004,W,800M,1:56.43,00:01:56.43,116.43,segundos
B,Jolanda CEPLAK,SLO,Athens,2004,W,800M,1:56.43,00:01:56.43,116.43,segundos
G,Svetlana MASTERKOVA,RUS,Atlanta,1996,W,800M,1:57.73,00:01:57.73,117.73,segundos
S,Ana Fidelia QUIROT,CUB,Atlanta,1996,W,800M,1:58.11,00:01:58.11,118.11,segundos
B,Maria MUTOLA,MOZ,Atlanta,1996,W,800M,1:58.71,00:01:58.71,118.71,segundos
G,Nadezhda OLIZARENKO,URS,Moscow,1980,W,800M,1:53.5,01:53.5,,segundos
S,Olga MINEEVA,URS,Moscow,1980,W,800M,1:54.9,01:54.9,,segundos
B,Tatiana PROVIDOKHINA,URS,Moscow,1980,W,800M,1:55.5,01:55.5,,segundos
G,Hildegard FALCK,FRG,Munich,1972,W,800M,1:58.55,00:01:58.55,118.55,segundos
S,Niole SABAITE,URS,Munich,1972,W,800M,1:58.65,00:01:58.65,118.65,segundos
B,Gunhild HOFFMEISTER,GDR,Munich,1972,W,800M,1:59.19,00:01:59.19,119.19,segundos
G,Ann PACKER,GBR,Tokyo,1964,W,800M,2:01.1,02:01.1,,segundos
S,Maryvonne DUPUREUR,FRA,Tokyo,1964,W,800M,2:01.9,02:01.9,,segundos
B,Ann Marise CHAMBERLAIN,NZL,Tokyo,1964,W,800M,2:02.8,02:02.8,,segundos
G,"Karoline ""Lina"" RADKE",GER,Amsterdam,1928,W,800M,2:16.8,02:16.8,,segundos
S,Kinue HITOMI,JPN,Amsterdam,1928,W,800M,,,,segundos
B,Inga GENTZEL,SWE,Amsterdam,1928,W,800M,,,,segundos
G,Sandra PERKOVIC,CRO,Rio,2016,W,Discus Throw,69.21,00:00:69.21,69.21,segundos
S,Melina ROBERT-MICHON,FRA,Rio,2016,W,Discus Throw,66.73,00:00:66.73,66.73,segundos
B,Denia CABALLERO,CUB,Rio,2016,W,Discus Throw,65.34,00:00:65.34,65.34,segundos
G,Stephanie BROWN TRAFTON,USA,Beijing,2008,W,Discus Throw,64.74,00:00:64.74,64.74,segundos
B,Olena ANTONOVA,UKR,Beijing,2008,W,Discus Throw,62.59,00:00:62.59,62.59,segundos
G,Ellina ZVEREVA,BLR,Sydney,2000,W,Discus Throw,68.4,00:00:68.40,68.4,segundos
S,Anastasia KELESIDOU,GRE,Sydney,2000,W,Discus Throw,65.71,00:00:65.71,65.71,segundos
B,Iryna YATCHENKO,BLR,Sydney,2000,W,Discus Throw,65.2,00:00:65.20,65.2,segundos
G,Maritza MARTEN,CUB,Barcelona,1992,W,Discus Throw,70.06,00:00:70.06,70.06,segundos
S,Tsvetanka KHRISTOVA,BUL,Barcelona,1992,W,Discus Throw,67.78,00:00:67.78,67.78,segundos
B,Daniela COSTIAN,AUS,Barcelona,1992,W,Discus Throw,66.24,00:00:66.24,66.24,segundos
G,Ria STALMAN,NED,Los Angeles,1984,W,Discus Throw,65.36,00:00:65.36,65.36,segundos
S,Leslie DENIZ,USA,Los Angeles,1984,W,Discus Throw,64.86,00:00:64.86,64.86,segundos
B,Florenta CRACIUNESCU,ROU,Los Angeles,1984,W,Discus Throw,63.64,00:00:63.64,63.64,segundos
G,Lia MANOLIU,ROU,Mexico,1968,W,Discus Throw,58.28,00:00:58.28,58.28,segundos
S,Liesel WESTERMANN,FRG,Mexico,1968,W,Discus Throw,57.76,00:00:57.76,57.76,segundos
B,Jolan KLEIBER-KONTSEK,HUN,Mexico,1968,W,Discus Throw,54.9,00:00:54.90,54.9,segundos
